Serial No.	Radius		Area		Perimeter
..........................................................
1		1		3.14		6.28
2		2		12.57		12.57
3		3		28.27		18.85
4		3		28.27		18.85
5		3		28.27		18.85
6		3		28.27		18.85
7		4		50.27		25.13
8		5		78.54		31.42
9		64		12867.96		402.12
10		5		78.54		31.42
11		5		78.54		31.42
12		5		78.54		31.42
13		524		862605.94		3292.39
14		458		658993.06		2877.70
15		2		12.57		12.57
16		6		113.10		37.70
17		31		3019.07		194.78
18		1		3.14		6.28
19		1		3.14		6.28
20		112		39408.14		703.72
21		1		3.14		6.28
22		1		3.14		6.28
23		12		452.39		75.40
24		2		12.57		12.57
25		2		12.57		12.57
